qubit,T1_us,T2_us,frequency_GHz,readout_error,sx_gate_error,sx_gate_length_ns,mean_ecr_error,mean_ecr_length_ns
88,253.434099750995,99.69022075291706,4.689568986777462,0.043212890625,0.00016217324882224644,56.888888888888886,0.00808311901047129,533.3333333333333
89,241.18982885508578,217.97883369713438,4.947934745719253,0.017578125,0.000871516751417471,56.888888888888886,0.009744106722859414,533.3333333333333
90,304.5228871387725,221.70245689980942,4.8030636007123855,0.01025390625,0.0006223842396446286,56.888888888888886,0.015754695857259166,533.3333333333333
91,342.9809504279625,319.17783012489804,4.893183773290422,0.01953125,0.0001323928080257505,56.888888888888886,0.007014388293067109,533.3333333333333
92,232.17391335805084,402.65681103532813,4.82770095648003,0.340576171875,0.000137709864299723,56.888888888888886,0.503258666703803,533.3333333333333
93,287.81604919342453,42.35694986153188,4.910445778234493,0.009765625,0.0005723236039365926,56.888888888888886,0.008026644301939806,533.3333333333333
94,226.34879072995665,269.5944163951351,4.719658009926525,0.00927734375,0.00017818024677744226,56.888888888888886,0.0077275070345771135,533.3333333333333
95,288.09061051746113,101.43780925242761,4.802301925236895,0.010498046875,0.0006782112681808525,56.888888888888886,0.010569888762131052,533.3333333333333
96,226.69675028103646,159.03124061400263,4.852645207376888,0.098876953125,0.0007698455416883917,56.888888888888886,0.009998715508827416,533.3333333333333
97,241.2147660588001,89.33337868163575,4.950011212323079,0.02099609375,0.0005399445396588898,56.888888888888886,0.010937863462410963,533.3333333333333
98,254.92839642326396,361.11710839392305,4.774674205715848,0.024658203125,0.00012824077512450587,56.888888888888886,0.008786945225055373,533.3333333333333
99,229.01990079588796,176.88403831577213,4.832449224876219,0.015625,0.000270425857145486,56.888888888888886,0.007565115601415984,533.3333333333333
100,132.52953230862786,212.8279772197205,4.648608000152519,0.013427734375,0.000288893387549074,56.888888888888886,0.007269299958715188,533.3333333333333
101,258.5550554739405,70.63221921579745,4.844086463517431,0.003662109375,0.0002780503867993719,56.888888888888886,0.007234477305556486,533.3333333333333
102,206.43108615370352,107.63010982137453,4.786656555164215,0.060302734375,0.00020317736805894356,56.888888888888886,0.3376917344776962,533.3333333333333
103,298.94546535668314,215.43014060308704,4.694680098399601,0.0087890625,0.00015773837696022203,56.888888888888886,0.005496183517035957,533.3333333333333
104,273.98859345376127,341.73125246459665,4.78387997974473,0.003662109375,0.0002675706567666892,56.888888888888886,0.005648724665191396,533.3333333333333
105,295.61134575355135,27.133052989838603,4.883441194352368,0.010986328125,0.00012428359295803477,56.888888888888886,0.005948352192885087,533.3333333333333
106,438.014977947337,359.3096616410398,4.774787194423951,0.012451171875,0.000172963661842525,56.888888888888886,0.007333305458466888,533.3333333333333
